year,originregion,destinationregion,fe_OrigCategorical,fe_DestCategorical,fe_YearCategorical
1995.0,WEU,CAM,-52.970146213151395,-1.0376891022290309,0.12509776108453963
1995.0,CAN,CAM,-47.330973989564214,-1.0376891022290309,0.12509776108453963
1995.0,USA,CAM,-48.393300205074745,-1.0376891022290309,0.12509776108453963
1995.0,SSA,LAM,-54.40568897482562,-1.9766679602436668,0.12509776108453963
1995.0,MAF,LAM,-51.40758985587273,-1.9766679602436668,0.12509776108453963
1995.0,FSU,LAM,-53.84309861088059,-1.9766679602436668,0.12509776108453963
1995.0,MDE,LAM,-51.44006891830045,-1.9766679602436668,0.12509776108453963
1995.0,WEU,LAM,-52.970146213151395,-1.9766679602436668,0.12509776108453963
1995.0,SAS,LAM,-52.70492881540335,-1.9766679602436668,0.12509776108453963
1995.0,CHI,LAM,-51.5963025043938,-1.9766679602436668,0.12509776108453963
1995.0,JPK,LAM,-50.715899219676274,-1.9766679602436668,0.12509776108453963
1995.0,SEA,LAM,-52.022744063378475,-1.9766679602436668,0.12509776108453963
1995.0,SIS,LAM,-50.77308550226084,-1.9766679602436668,0.12509776108453963
1995.0,CAM,LAM,-52.90326465706343,-1.9766679602436668,0.12509776108453963
1995.0,ANZ,LAM,-48.13835463494228,-1.9766679602436668,0.12509776108453963
1995.0,EEU,LAM,-52.72052880070537,-1.9766679602436668,0.12509776108453963
1995.0,CAN,LAM,-47.330973989564214,-1.9766679602436668,0.12509776108453963
1995.0,USA,LAM,-48.393300205074745,-1.9766679602436668,0.12509776108453963
1995.0,SSA,ANZ,-54.40568897482562,4.269172467441644,0.12509776108453963
1995.0,SIS,ANZ,-50.77308550226084,4.269172467441644,0.12509776108453963
1995.0,MAF,ANZ,-51.40758985587273,4.269172467441644,0.12509776108453963
1995.0,FSU,ANZ,-53.84309861088059,4.269172467441644,0.12509776108453963
1995.0,MDE,ANZ,-51.44006891830045,4.269172467441644,0.12509776108453963
1995.0,WEU,ANZ,-52.970146213151395,4.269172467441644,0.12509776108453963
1995.0,SAS,ANZ,-52.70492881540335,4.269172467441644,0.12509776108453963
1995.0,CHI,ANZ,-51.5963025043938,4.269172467441644,0.12509776108453963
1995.0,JPK,ANZ,-50.715899219676274,4.269172467441644,0.12509776108453963
1995.0,SEA,ANZ,-52.022744063378475,4.269172467441644,0.12509776108453963
1995.0,CAM,ANZ,-52.90326465706343,4.269172467441644,0.12509776108453963
1995.0,LAM,ANZ,-53.12377900290987,4.269172467441644,0.12509776108453963
1995.0,EEU,ANZ,-52.72052880070537,4.269172467441644,0.12509776108453963
1995.0,CAN,ANZ,-47.330973989564214,4.269172467441644,0.12509776108453963
1995.0,USA,ANZ,-48.393300205074745,4.269172467441644,0.12509776108453963
1995.0,SSA,EEU,-54.40568897482562,-0.5298368930597235,0.12509776108453963
1995.0,MAF,EEU,-51.40758985587273,-0.5298368930597235,0.12509776108453963
1995.0,FSU,EEU,-53.84309861088059,-0.5298368930597235,0.12509776108453963
1995.0,MDE,EEU,-51.44006891830045,-0.5298368930597235,0.12509776108453963
1995.0,WEU,EEU,-52.970146213151395,-0.5298368930597235,0.12509776108453963
1995.0,SAS,EEU,-52.70492881540335,-0.5298368930597235,0.12509776108453963
1995.0,SIS,EEU,-50.77308550226084,-0.5298368930597235,0.12509776108453963
1995.0,CHI,EEU,-51.5963025043938,-0.5298368930597235,0.12509776108453963
1995.0,JPK,EEU,-50.715899219676274,-0.5298368930597235,0.12509776108453963
1995.0,SEA,EEU,-52.022744063378475,-0.5298368930597235,0.12509776108453963
1995.0,CAM,EEU,-52.90326465706343,-0.5298368930597235,0.12509776108453963
1995.0,LAM,EEU,-53.12377900290987,-0.5298368930597235,0.12509776108453963
1995.0,ANZ,EEU,-48.13835463494228,-0.5298368930597235,0.12509776108453963
1995.0,CAN,EEU,-47.330973989564214,-0.5298368930597235,0.12509776108453963
1995.0,USA,EEU,-48.393300205074745,-0.5298368930597235,0.12509776108453963
1995.0,SSA,CAN,-54.40568897482562,4.958732003598321,0.12509776108453963
1995.0,SIS,CAN,-50.77308550226084,4.958732003598321,0.12509776108453963
1995.0,MAF,CAN,-51.40758985587273,4.958732003598321,0.12509776108453963
1995.0,FSU,CAN,-53.84309861088059,4.958732003598321,0.12509776108453963
1995.0,MDE,CAN,-51.44006891830045,4.958732003598321,0.12509776108453963
1995.0,WEU,CAN,-52.970146213151395,4.958732003598321,0.12509776108453963
1995.0,SAS,CAN,-52.70492881540335,4.958732003598321,0.12509776108453963
1995.0,CHI,CAN,-51.5963025043938,4.958732003598321,0.12509776108453963
1995.0,JPK,CAN,-50.715899219676274,4.958732003598321,0.12509776108453963
1995.0,SEA,CAN,-52.022744063378475,4.958732003598321,0.12509776108453963
1995.0,CAM,CAN,-52.90326465706343,4.958732003598321,0.12509776108453963
1995.0,LAM,CAN,-53.12377900290987,4.958732003598321,0.12509776108453963
1995.0,ANZ,CAN,-48.13835463494228,4.958732003598321,0.12509776108453963
1995.0,EEU,CAN,-52.72052880070537,4.958732003598321,0.12509776108453963
1995.0,USA,CAN,-48.393300205074745,4.958732003598321,0.12509776108453963
1995.0,SSA,USA,-54.40568897482562,2.9818847293353077,0.12509776108453963
1995.0,SIS,USA,-50.77308550226084,2.9818847293353077,0.12509776108453963
1995.0,MAF,USA,-51.40758985587273,2.9818847293353077,0.12509776108453963
1995.0,FSU,USA,-53.84309861088059,2.9818847293353077,0.12509776108453963
1995.0,MDE,USA,-51.44006891830045,2.9818847293353077,0.12509776108453963
1995.0,WEU,USA,-52.970146213151395,2.9818847293353077,0.12509776108453963
1995.0,SAS,USA,-52.70492881540335,2.9818847293353077,0.12509776108453963
1995.0,CHI,USA,-51.5963025043938,2.9818847293353077,0.12509776108453963
1995.0,JPK,USA,-50.715899219676274,2.9818847293353077,0.12509776108453963
1995.0,SEA,USA,-52.022744063378475,2.9818847293353077,0.12509776108453963
1995.0,CAM,USA,-52.90326465706343,2.9818847293353077,0.12509776108453963
1995.0,LAM,USA,-53.12377900290987,2.9818847293353077,0.12509776108453963
1995.0,ANZ,USA,-48.13835463494228,2.9818847293353077,0.12509776108453963
1995.0,EEU,USA,-52.72052880070537,2.9818847293353077,0.12509776108453963
1995.0,CAN,USA,-47.330973989564214,2.9818847293353077,0.12509776108453963
2000.0,MAF,SSA,-51.40758985587273,-2.3098157863769124,-0.06668045562849301
2000.0,SAS,SSA,-52.70492881540335,-2.3098157863769124,-0.06668045562849301
2000.0,SEA,SSA,-52.022744063378475,-2.3098157863769124,-0.06668045562849301
2000.0,EEU,SSA,-52.72052880070537,-2.3098157863769124,-0.06668045562849301
2000.0,FSU,SSA,-53.84309861088059,-2.3098157863769124,-0.06668045562849301
2000.0,WEU,SSA,-52.970146213151395,-2.3098157863769124,-0.06668045562849301
2000.0,CAN,SSA,-47.330973989564214,-2.3098157863769124,-0.06668045562849301
2000.0,USA,SSA,-48.393300205074745,-2.3098157863769124,-0.06668045562849301
2000.0,SSA,SIS,-54.40568897482562,1.7543666547558043,-0.06668045562849301
2000.0,MAF,SIS,-51.40758985587273,1.7543666547558043,-0.06668045562849301
2000.0,SAS,SIS,-52.70492881540335,1.7543666547558043,-0.06668045562849301
2000.0,SEA,SIS,-52.022744063378475,1.7543666547558043,-0.06668045562849301
2000.0,CAM,SIS,-52.90326465706343,1.7543666547558043,-0.06668045562849301
2000.0,LAM,SIS,-53.12377900290987,1.7543666547558043,-0.06668045562849301
2000.0,ANZ,SIS,-48.13835463494228,1.7543666547558043,-0.06668045562849301
2000.0,FSU,SIS,-53.84309861088059,1.7543666547558043,-0.06668045562849301
2000.0,WEU,SIS,-52.970146213151395,1.7543666547558043,-0.06668045562849301
2000.0,CAN,SIS,-47.330973989564214,1.7543666547558043,-0.06668045562849301
2000.0,USA,SIS,-48.393300205074745,1.7543666547558043,-0.06668045562849301
2000.0,MDE,SSA,-51.44006891830045,-2.3098157863769124,-0.06668045562849301
2000.0,ANZ,SSA,-48.13835463494228,-2.3098157863769124,-0.06668045562849301
2000.0,SIS,SSA,-50.77308550226084,-2.3098157863769124,-0.06668045562849301
2000.0,CAM,SSA,-52.90326465706343,-2.3098157863769124,-0.06668045562849301
2000.0,LAM,SSA,-53.12377900290987,-2.3098157863769124,-0.06668045562849301
2000.0,CHI,SSA,-51.5963025043938,-2.3098157863769124,-0.06668045562849301
2000.0,JPK,SSA,-50.715899219676274,-2.3098157863769124,-0.06668045562849301
2000.0,MDE,SIS,-51.44006891830045,1.7543666547558043,-0.06668045562849301
2000.0,CHI,SIS,-51.5963025043938,1.7543666547558043,-0.06668045562849301
2000.0,JPK,SIS,-50.715899219676274,1.7543666547558043,-0.06668045562849301
2000.0,EEU,SIS,-52.72052880070537,1.7543666547558043,-0.06668045562849301
2000.0,SSA,MAF,-54.40568897482562,-0.29806890428689314,-0.06668045562849301
2000.0,MDE,MAF,-51.44006891830045,-0.29806890428689314,-0.06668045562849301
2000.0,WEU,MAF,-52.970146213151395,-0.29806890428689314,-0.06668045562849301
2000.0,FSU,MAF,-53.84309861088059,-0.29806890428689314,-0.06668045562849301
2000.0,SAS,MAF,-52.70492881540335,-0.29806890428689314,-0.06668045562849301
2000.0,CHI,MAF,-51.5963025043938,-0.29806890428689314,-0.06668045562849301
2000.0,JPK,MAF,-50.715899219676274,-0.29806890428689314,-0.06668045562849301
2000.0,SEA,MAF,-52.022744063378475,-0.29806890428689314,-0.06668045562849301
2000.0,SIS,MAF,-50.77308550226084,-0.29806890428689314,-0.06668045562849301
2000.0,CAM,MAF,-52.90326465706343,-0.29806890428689314,-0.06668045562849301
2000.0,LAM,MAF,-53.12377900290987,-0.29806890428689314,-0.06668045562849301
2000.0,ANZ,MAF,-48.13835463494228,-0.29806890428689314,-0.06668045562849301
2000.0,EEU,MAF,-52.72052880070537,-0.29806890428689314,-0.06668045562849301
2000.0,CAN,MAF,-47.330973989564214,-0.29806890428689314,-0.06668045562849301
