scen,period,fundregion,age,pop,inmig,inmig_sum,share,index
SSP5,2090,EEU,85,3945.584124684332,0,1343.4554339966996,0,6
SSP5,2090,EEU,90,3746.2911772597117,0,1343.4554339966996,0,6
SSP5,2090,EEU,95,3404.8702118169576,0,1343.4554339966996,0,6
SSP5,2090,EEU,100,2237.966802421578,0,1343.4554339966996,0,6
SSP5,2090,EEU,105,805.591074366505,0,1343.4554339966996,0,6
SSP5,2090,EEU,110,124.37287975044435,0,1343.4554339966996,0,6
SSP5,2090,EEU,115,5.711858014902059,0,1343.4554339966996,0,6
SSP5,2090,EEU,120,0.11430632558613892,0,1343.4554339966996,0,6
SSP5,2090,FSU,0,21682.131780304684,723.2299882835372,8344.565647941941,0.08667077698189249,7
SSP5,2090,FSU,5,21843.040118503985,438.78994161193276,8344.565647941941,0.05258391630248047,7
SSP5,2090,FSU,10,21660.97337221531,274.4910205370704,8344.565647941941,0.03289458458569014,7
SSP5,2090,FSU,15,21128.29460350169,765.0658859734776,8344.565647941941,0.09168432705208202,7
SSP5,2090,FSU,20,20653.126885266967,1779.822581969759,8344.565647941941,0.21329121934689613,7
SSP5,2090,FSU,25,20723.11255490912,1602.4947947556498,8344.565647941941,0.19204052821501624,7
SSP5,2090,FSU,30,21282.592922185024,1071.3011028728988,8344.565647941941,0.1283830876370562,7
SSP5,2090,FSU,35,22008.036788063873,663.5419909598842,8344.565647941941,0.07951785856266066,7
SSP5,2090,FSU,40,22282.048350686775,404.34428014752575,8344.565647941941,0.04845600085215353,7
SSP5,2090,FSU,45,21667.64706327714,245.49968764037848,8344.565647941941,0.029420307538826445,7
SSP5,2090,FSU,50,20403.180686692936,148.93572911360835,8344.565647941941,0.01784823026113301,7
SSP5,2090,FSU,55,19384.800130805765,90.33688172570157,8344.565647941941,0.010825833906403718,7
SSP5,2090,FSU,60,19457.747165535846,54.79021331959063,8344.565647941941,0.006565975466093168,7
SSP5,2090,FSU,65,20350.622075004027,33.227176632292,8344.565647941941,0.003981894089416981,7
SSP5,2090,FSU,70,21009.009513510893,48.6943723986335,8344.565647941941,0.005835459202198644,7
SSP5,2090,FSU,75,20739.543591253983,0,8344.565647941941,0,7
SSP5,2090,FSU,80,16725.63260553725,0,8344.565647941941,0,7
SSP5,2090,FSU,85,12180.377004121727,0,8344.565647941941,0,7
SSP5,2090,FSU,90,8889.65942827208,0,8344.565647941941,0,7
SSP5,2090,FSU,95,6461.273470228696,0,8344.565647941941,0,7
SSP5,2090,FSU,100,2969.616694065205,0,8344.565647941941,0,7
SSP5,2090,FSU,105,511.17284815519565,0,8344.565647941941,0,7
SSP5,2090,FSU,110,34.1540356001802,0,8344.565647941941,0,7
SSP5,2090,FSU,115,1.0066781781271825,0,8344.565647941941,0,7
SSP5,2090,FSU,120,0.025470438741442645,0,8344.565647941941,0,7
SSP5,2090,MDE,0,20530.215202749067,1025.0684745013816,11826.719607402874,0.08667394751286277,8
SSP5,2090,MDE,5,21274.85440396904,621.8637904654502,11826.719607402874,0.052581257619077885,8
SSP5,2090,MDE,10,21897.43017741551,389.0148546200629,11826.719607402874,0.032892878797647414,8
SSP5,2090,MDE,15,22324.99580170903,1084.258518303055,11826.719607402874,0.09167872024499245,8
SSP5,2090,MDE,20,22838.221521884556,2522.5087332096614,11826.719607402874,0.21328896067094633,8
